	war_Qid	warLabel	startDate	endDate	participants
0	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q34
1	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q12548
2	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q22880
3	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q62651
4	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q70972
5	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q80702
6	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q156199
7	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q157367
8	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q170072
9	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q179876
10	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q230791
11	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q253094
12	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q556263
13	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q655621
14	Q2487	Thirty Years' War	1618-01-01T00:00:00Z	1648-01-01T00:00:00Z	Q686971
15	Q6254	Kitos War	0115-01-01T00:00:00Z	0117-01-01T00:00:00Z	Q2277
16	Q6254	Kitos War	0115-01-01T00:00:00Z	0117-01-01T00:00:00Z	Q7325
17	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q2253
18	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q11772
19	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q13670
20	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q17167
21	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q18986
22	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q36456
23	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q83958
24	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q102679
25	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q190992
26	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q245273
27	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q274545
28	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q315274
29	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q432244
30	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q603588
31	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q1288728
32	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q2429397
33	Q6271	Second Punic War	-0217-01-01T00:00:00Z	-0200-01-01T00:00:00Z	Q3293507
34	Q6286	First Punic War	-0263-01-01T00:00:00Z	-0240-01-01T00:00:00Z	Q17167
35	Q6286	First Punic War	-0263-01-01T00:00:00Z	-0240-01-01T00:00:00Z	Q763375
