locationID,locationLabel,locationDescription,coordinates
Q231151,Tindouf Province,province of Algeria,Point(-8.133333333 27.683333333)
Q1480109,Southern Lebanon,geographic region,
Q5118,Republic of Dagestan,"federal subject of Russia, republic of Russia",Point(46.883333333 43.1)
Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",Point(66.0 34.0)
Q792,El Salvador,sovereign state in Central America,Point(-88.866111 13.668889)
Q7204,Middle East,region that encompasses majority of Western Asia and Egypt,Point(45.0 28.0)
Q115,Ethiopia,Country in East Africa,Point(40.0 9.0)
Q27092,Sea of Japan,"sea between Korea, Japan, and Russia",Point(135.0 40.0)
Q48,Asia,"continent, mainly on the Earth's northeastern quadrant",Point(101.0 39.0)
Q36755,Sinai Peninsula,peninsula in the Red Sea,Point(33.833333333 29.5)
Q58705,Arabian Sea,region of the northern Indian Ocean,Point(66.0 18.0)
Q189352,Nineveh Governorate,governorate of Iraq,Point(42.466666666 36.0)
Q23334,Abkhazia,geographic region in Georgia,Point(41.0 43.15)
Q794,Iran,sovereign state in Western Asia,Point(53.0 32.0)
Q262,Algeria,sovereign state in North Africa,Point(1.0 28.0)
Q3088996,Syria–Turkey border,international border,Point(35.159166666 36.014444444)
Q36704,Yugoslavia,1918–1992 country in Southeastern and Central Europe,Point(20.462222222 44.820555555)
Q235563,Al-Raqqah Governorate,governorate of Syria,Point(38.9 36.0)
Q224,Croatia,sovereign state in Central Europe,Point(15.466667 45.25)
Q1007,Guinea-Bissau,sovereign state in Western Africa,Point(-15.0 12.0)
Q399,Armenia,sovereign state in the South Caucasus region of Eurasia,Point(44.95 40.383333)
Q657,Chad,sovereign state in central Africa,Point(19.4 15.466667)
Q39760,Gaza Strip,region on the eastern coast of the Mediterranean Sea,Point(34.333333333 31.416666666)
Q1016,Libya,sovereign state in north Africa,Point(17.0 27.0)
Q155638,Southeastern Anatolia Region,region of Turkey,Point(40.0 37.0)
Q2635466,India–Pakistan border,separates territories of India and Pakistan,Point(76.959717592 35.194398148)
Q11708,Southeast Asia,subregion of Asia,Point(105.1 12.0)
Q23427,South Ossetia,disputed region in the South Caucasus,Point(43.966666666 42.233333333)
Q205047,Kurdistan Region,Kurdish autonomous Region in northern Iraq,Point(44.0 36.183333333)
Q5207,Stavropol Krai,federal subject of Russia,Point(43.266666666 45.05)
