warID,warName,warDescription,startDate,endDate,prevWarID,nextWarID
Q170682,Gaza War,December 2008-January 2009 armed conflict in the Gaza Strip,2008-12-27,2009-01-18,,
Q49092,1947–1949 Palestine war,Ando cheques no están depende si Israel War That cam oÁndote que no va a Weston depende si a Israel Work and Over Back OK venga chaof the bank ocoint,1947-10-30,1949-03-10,,
Q179275,War in North-West Pakistan,armed conflict involving Pakistan and armed militant groups,2004-03-16,,,
Q185729,War on Terror,international military campaign that started after 11 September 2001,2001-09-11,,,
Q68969,Croatian War of Independence,war of independence fought from 1991 to 1995,1991-03-31,1995-08-07,,
Q8740,Vietnam War,"1964–1975 armed conflict in Vietnam, Laos, and Cambodia between North Vietnam and South Vietnam",1965-11-01,1975-04-30,,
Q182865,War in Afghanistan,war in Afghanistan since 2001,2001-10-07,2014-12-28,Q12302518,Q18920712
Q151622,Israeli–Palestinian conflict,military and political struggle between Israel and the Palestinians,1950-01-01,,Q2992527,
Q8663,Korean War,1950–1953 war between North Korea and South Korea,1950-06-25,1953-07-27,,
Q29269,First Chechen War,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",1994-12-11,1996-08-31,,
Q49104,2006 Lebanon War,military conflict between Hezbollah and Israeli forces,2006-07-12,2006-08-14,,
Q181533,Bosnian War,international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995,1992-04-06,1995-12-14,,
Q29242,Georgian–Ossetian conflict,ethno-political conflict over Georgia's autonomous region of South Ossetia,1989-11-10,,,
Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06,1973-10-25,,
Q120843,Second Chechen War,war,1999-08-26,2009-04-15,,
Q49077,Six-Day War,"1967 war between Israel and Egypt, Jordan, and Syria",1967-06-05,1967-06-10,,
Q75756,Second Congo War,war in Africa,1998-08-02,2003-06-30,,
Q82664,Iran–Iraq War,war between Iran and Iraq from September 1980 to August 1988,1980-09-22,1988-08-20,,
Q48249,Falklands War,1982 war between Argentina and the United Kingdom,1982-04-02,1982-06-14,,
Q37643,Gulf War,1990–1991 war between Iraq and Coalition Forces,1990-08-02,1991-02-28,,
Q49097,1948 Arab–Israeli War,,1947-11-30,1949-07-20,,
Q83085,Soviet–Afghan War,"war between the Soviet Union and Afghan insurgents, 1979-89",1979-12-25,1989-02-15,,Q2405009
Q49101,Suez Crisis,"diplomatic and military confrontation in late 1956 involving Egypt, Britain, France and Israel",1956-10-29,1956-11-07,,
Q49103,1982 Lebanon War,1982 war between Israel and forces in Lebanon,1982-06-06,1985-05-17,,
Q1354920,Djiboutian–Eritrean border conflict,2008 armed conflict in East Africa,2008-06-10,2008-06-13,,
Q2342102,Indochina Wars,series of wars fought in Southeast Asia from 1946 until 1989,1946-01-01,1989-01-01,,
Q1922071,Indo-Pakistani War of 1971,military confrontation between India and Pakistan alongside the Bangladesh Liberation War. India attacked first,1971-12-03,1971-12-16,,
Q652284,1982 Ethiopian–Somali Border War,war,1982-06-01,1982-08-01,,
Q4072719,Afghanistan–Pakistan skirmishes,"cross-border shellings that have occurred since 1949, lately since mid-2003",1949-01-01,,,
Q1143379,1991–1992 South Ossetia War,war,1991-01-05,1992-06-24,,
Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,1947-01-01,1991-01-01,,
Q2992536,Basque conflict,armed and political conflict in Spain,1959-07-31,2011-10-20,,
Q2652686,Kachin conflict,armed conflict in Myanmar,1961-02-05,,,
Q1783607,Salvadoran Civil War,13 year 1979-1992 civil war in El Salvador,1979-10-15,1992-01-16,,
Q28444896,ECOWAS military intervention in the Gambia,military intervention in the Gambia by several West African countries,2017-01-19,2017-01-20,,
Q303801,Lord's Resistance Army insurgency,ongoing insurgency in central africa,1987-01-01,,,
Q223085,Football War,1969 War between Honduras and El Salvador,1969-07-14,1969-07-18,,
Q18159629,American-led intervention in Iraq (2014–present),,2014-06-15,,,
Q1434602,Libyan–Egyptian War,war,1977-07-21,1977-07-24,,
Q1891008,Sand War,,1963-09-25,1964-02-20,,
