warID,largerConflictID
Q170682,Q553184
Q170682,Q15059994
Q49092,Q8669
Q179275,Q185729
Q68969,Q242352
Q8740,Q8683
Q182865,Q185729
Q182865,Q1519107
Q151622,Q8669
Q8663,Q8683
Q29269,Q14947002
Q49104,Q3241199
Q49104,Q15059994
Q181533,Q242352
Q49100,Q8669
Q49100,Q8683
Q120843,Q14947002
Q49077,Q8669
Q75756,Q364610
Q82664,Q13408125
Q48249,Q4379537
Q49097,Q8669
Q83085,Q1519107
Q49101,Q8669
Q49103,Q8669
Q1922071,Q10898774
Q652284,Q40719
Q4072719,Q7703943
Q1143379,Q29242
Q2992536,Q7781
Q2652686,Q852088
Q1783607,Q3002766
Q28444896,Q28398113
Q18159629,Q17507684
Q1434602,Q4783165
Q1891008,Q4783165
Q2337340,Q2363837
Q1209169,Q321780
Q17507684,Q178810
Q17507684,Q926905
Q620735,Q321780
Q748780,Q2342102
Q832273,Q40719
Q242352,Q4390259
Q609836,Q1146918
Q1072042,Q185729
Q1072042,Q243620
Q1072042,Q5692053
Q327237,Q364610
Q632787,Q185729
Q6022577,Q213394
Q318250,Q8683
Q2904516,Q8669
Q1413732,Q3119132
Q3196886,Q327237
Q1760930,Q2363837
Q1361929,Q6741681
Q322607,Q8669
Q322607,Q8683
Q371394,Q8683
Q1640107,Q1146918
Q190029,Q242352
Q644589,Q611071
Q1519107,Q8683
Q838695,Q364610
Q381375,Q16954835
Q959303,Q321780
Q643925,Q14947002
Q4116897,Q6068230
Q21647838,Q18357664
Q233583,Q10898774
Q3429692,Q12055176
Q652285,Q3119132
Q620735,Q29242
Q1262084,Q40719
Q748780,Q8683
Q404517,Q1413732
Q1069736,Q181533
Q619749,Q6445763
Q635533,Q796498
Q3151731,Q8683
Q623171,Q796498
Q553184,Q151622
Q6067814,Q545449
Q1814745,Q213394
Q18121212,Q5468411
Q18121212,Q17507684
Q178810,Q33761
Q81545,Q33761
Q257724,Q8683
Q54448834,Q16954835
Q877450,Q8683
Q877450,Q8740
Q1282732,Q8683
Q817206,Q2342102
Q243620,Q40719
Q178810,Q17512479
Q142529,Q185729
Q521199,Q4783165
Q657661,Q8683
Q188972,Q8683
Q817206,Q8683
Q817206,Q8740
Q1477500,Q1185186
Q1052332,Q243620
Q1154912,Q6068230
Q1980081,Q1519107
Q66474138,Q169072
Q66474138,Q185517
Q66474138,Q28485502
Q163883,Q242352
Q17984356,Q17272643
Q17984356,Q17512479
Q1773984,Q13557549
Q16335075,Q15860072
Q16335075,Q16918333
Q17324420,Q553184
Q2002270,Q609836
Q15059994,Q2301356
Q11942758,Q5692053
Q12302518,Q1519107
Q2354629,Q230533
Q19686631,Q19362030
Q607257,Q257724
Q16151540,Q213394
Q23403028,Q17984356
Q152060,Q12055176
Q17272643,Q33761
Q42410592,Q381375
Q42306431,Q1282732
Q10292592,Q120843
Q2609193,Q609836
Q42410697,Q426722
Q1050999,Q245831
Q42306419,Q1282732
Q15353665,Q6589923
Q42410581,Q1070890
Q107802,Q545449
Q17183365,Q545449
Q17183365,Q926905
Q42410546,Q1282732
Q1780216,Q609836
Q2354629,Q8683
Q42410643,Q142529
Q2946372,Q17512479
Q16974363,Q16151540
Q17272643,Q178810
Q11050383,Q213394
Q501866,Q131110
Q501866,Q1516422
Q11154636,Q213394
Q18920712,Q1519107
Q2444955,Q1146918
Q200790,Q8683
Q16911838,Q33761
Q12055176,Q8683
