warID,locationID
Q170682,Q39760
Q49092,Q36755
Q179275,Q208270
Q68969,Q224
Q8740,Q180573
Q182865,Q889
Q151622,Q219060
Q8663,Q27092
Q8663,Q52052
Q29269,Q5118
Q29269,Q5187
Q29269,Q5207
Q29269,Q5219
Q49104,Q81483
Q181533,Q188736
Q29242,Q23427
Q49100,Q899
Q49100,Q7204
Q49100,Q36755
Q120843,Q5187
Q49077,Q7204
Q170682,Q188781
Q49092,Q193714
Q49092,Q1480109
Q75756,Q974
Q82664,Q794
Q82664,Q796
Q82664,Q34675
Q48249,Q9648
Q48249,Q35086
Q37643,Q796
Q37643,Q801
Q37643,Q817
Q37643,Q851
Q37643,Q31945
Q8663,Q483134
Q83085,Q476757
Q49101,Q39760
Q49100,Q83210
Q49103,Q822
Q151622,Q801
Q1354920,Q1252648
Q2342102,Q11708
Q1922071,Q38684
Q1922071,Q58705
Q4072719,Q288292
Q1143379,Q23427
Q8683,Q12585
Q8683,Q15
Q8683,Q46
Q8683,Q48
Q2652686,Q140646
Q2652686,Q456847
Q1783607,Q792
Q28444896,Q1005
Q223085,Q750
Q18159629,Q796
Q1891008,Q231151
Q2337340,Q1288434
Q2337340,Q1993836
Q580961,Q3089020
Q2337340,Q5058842
Q1209169,Q23334
Q17507684,Q187334
Q17507684,Q189352
Q17507684,Q190131
Q17507684,Q193268
Q17507684,Q205047
Q17507684,Q235563
Q620735,Q23427
Q748780,Q185682
Q832273,Q986
Q832273,Q115
Q242352,Q36704
Q609836,Q2826232
Q1064335,Q1196315
Q1072042,Q1045
Q327237,Q1743993
Q632787,Q28227
Q6022577,Q854
Q318250,Q115
Q2904516,Q2463859
Q1413732,Q43100
Q1922071,Q645659
Q1922071,Q1366583
Q1361929,Q18758
Q1922071,Q2399139
Q1922071,Q2635466
Q322607,Q36755
Q371394,Q842931
Q1271059,Q390213
Q1640107,Q689837
Q190029,Q1231
Q285280,Q3537754
Q644589,Q16206846
Q1519107,Q889
Q838695,Q6500954
Q381375,Q399
Q381375,Q227
Q381375,Q44302
Q959303,Q23334
Q643925,Q5118
Q21647838,Q796
Q21647838,Q858
Q233583,Q43100
Q3429692,Q916
Q652285,Q43100
Q17507684,Q796
Q17507684,Q858
Q17507684,Q889
Q17507684,Q1016
Q17507684,Q1033
Q17507684,Q11708
Q404517,Q1650798
Q1069736,Q225
Q619749,Q155542
Q619749,Q155638
Q619749,Q205047
Q619749,Q3088996
Q635533,Q424
Q545449,Q796
Q190758,Q46733
Q611071,Q657
Q3151731,Q96
Q623171,Q172640
Q202465,Q1036
Q6067814,Q796
Q318250,Q137555
Q1814745,Q854
Q18121212,Q858
Q842380,Q882739
Q178810,Q858
Q81545,Q1016
Q213394,Q854
Q257724,Q115
Q647239,Q967
Q54448834,Q131083
Q829875,Q1033
Q54448834,Q2523428
Q1276892,Q199841
Q877450,Q870055
Q852088,Q836
Q209965,Q1041
Q185407,Q739
Q1282732,Q774
Q817206,Q1054184
Q782474,Q657
Q817206,Q2638486
Q68718107,Q1986207
Q1122110,Q863
Q243620,Q1045
Q795269,Q1044
Q208484,Q822
Q1087909,Q1008
Q1021175,Q1008
Q142529,Q262
Q521199,Q1998401
Q426722,Q1037
Q55600802,Q137555
Q1915188,Q730
Q1781457,Q1007
Q1021172,Q971
Q1960733,Q1014
Q657661,Q617078
Q188972,Q41
Q1122422,Q733
Q945700,Q657
Q1477500,Q1014
Q1052332,Q1045
Q1154912,Q205047
Q1980081,Q889
Q66474138,Q1948210
Q1070890,Q230
Q163883,Q215
Q17984356,Q796
Q1773984,Q1012419
Q42410540,Q1036
Q65251940,Q66812617
Q16335075,Q605714
Q17324420,Q801
Q2002270,Q889394
Q17324420,Q39760
Q15059994,Q7204
Q12302518,Q889
Q2354629,Q18758
Q42410550,Q657
Q19686631,Q805
Q607257,Q986
Q16151540,Q854
Q42410722,Q1037
Q23403028,Q4119531
Q42410678,Q424
Q152060,Q168787
Q17272643,Q796
Q17272643,Q801
Q17272643,Q810
Q17272643,Q822
Q17272643,Q858
Q17272643,Q43
Q17272643,Q79
Q42410592,Q44302
Q16335075,Q2012050
Q42306431,Q774
Q10292592,Q5219
Q2609193,Q1007
Q10360270,Q18826
Q42410504,Q252
Q42410697,Q1037
Q1050999,Q229
Q42306419,Q774
Q15353665,Q958
Q42410581,Q230
Q107802,Q796
Q42410546,Q774
Q1780216,Q916
Q42410622,Q907112
Q19686631,Q464718
Q42410643,Q262
Q3119017,Q1036
Q2946372,Q912
Q16974363,Q854
Q11050383,Q854
Q501866,Q769
Q2002975,Q837
Q11154636,Q854
Q2583734,Q142965
Q18920712,Q889
Q2444955,Q217169
Q3434218,Q800
Q200790,Q262
Q48941560,Q5187
Q16911838,Q1016
Q12055176,Q916
Q16335075,Q171965
Q42410520,Q1037
Q42306428,Q967
Q42410655,Q1014
