location,locationLabel,locationDescription,coordinates
http://www.wikidata.org/entity/Q231151,Tindouf Province,province of Algeria,Point(-8.133333333 27.683333333)
http://www.wikidata.org/entity/Q1480109,Southern Lebanon,geographic region,
http://www.wikidata.org/entity/Q5118,Republic of Dagestan,"federal subject of Russia, republic of Russia",Point(46.883333333 43.1)
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",Point(66.0 34.0)
http://www.wikidata.org/entity/Q792,El Salvador,sovereign state in Central America,Point(-88.866111 13.668889)
http://www.wikidata.org/entity/Q7204,Middle East,region that encompasses majority of Western Asia and Egypt,Point(45.0 28.0)
http://www.wikidata.org/entity/Q115,Ethiopia,Country in East Africa,Point(40.0 9.0)
http://www.wikidata.org/entity/Q27092,Sea of Japan,"sea between Korea, Japan, and Russia",Point(135.0 40.0)
http://www.wikidata.org/entity/Q48,Asia,"continent, mainly on the Earth's northeastern quadrant",Point(101.0 39.0)
http://www.wikidata.org/entity/Q36755,Sinai Peninsula,peninsula in the Red Sea,Point(33.833333333 29.5)
http://www.wikidata.org/entity/Q58705,Arabian Sea,region of the northern Indian Ocean,Point(66.0 18.0)
http://www.wikidata.org/entity/Q189352,Nineveh Governorate,governorate of Iraq,Point(42.466666666 36.0)
http://www.wikidata.org/entity/Q23334,Abkhazia,geographic region in Georgia,Point(41.0 43.15)
http://www.wikidata.org/entity/Q794,Iran,sovereign state in Western Asia,Point(53.0 32.0)
http://www.wikidata.org/entity/Q899,Suez Canal,canal in Egypt between the Mediterranean and Red Seas,Point(32.562777777 29.931388888)
http://www.wikidata.org/entity/Q262,Algeria,sovereign state in North Africa,Point(1.0 28.0)
http://www.wikidata.org/entity/Q3088996,Syria–Turkey border,international border,Point(35.159166666 36.014444444)
http://www.wikidata.org/entity/Q36704,Yugoslavia,1918–1992 country in Southeastern and Central Europe,Point(20.462222222 44.820555555)
http://www.wikidata.org/entity/Q1993836,Ecuador–Peru border,divides the territories of Ecuador and Peru,Point(-81.153481 -3.392125)
http://www.wikidata.org/entity/Q3088996,Syria–Turkey border,international border,Point(42.363888888 37.111106481)
http://www.wikidata.org/entity/Q235563,Al-Raqqah Governorate,governorate of Syria,Point(38.9 36.0)
http://www.wikidata.org/entity/Q224,Croatia,sovereign state in Central Europe,Point(15.466667 45.25)
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,sovereign state in Western Africa,Point(-15.0 12.0)
http://www.wikidata.org/entity/Q399,Armenia,sovereign state in the South Caucasus region of Eurasia,Point(44.95 40.383333)
http://www.wikidata.org/entity/Q657,Chad,sovereign state in central Africa,Point(19.4 15.466667)
http://www.wikidata.org/entity/Q39760,Gaza Strip,region on the eastern coast of the Mediterranean Sea,Point(34.333333333 31.416666666)
http://www.wikidata.org/entity/Q1016,Libya,sovereign state in north Africa,Point(17.0 27.0)
http://www.wikidata.org/entity/Q155638,Southeastern Anatolia Region,region of Turkey,Point(40.0 37.0)
http://www.wikidata.org/entity/Q2635466,India–Pakistan border,separates territories of India and Pakistan,Point(76.959717592 35.194398148)
http://www.wikidata.org/entity/Q11708,Southeast Asia,subregion of Asia,Point(105.1 12.0)
http://www.wikidata.org/entity/Q23427,South Ossetia,disputed region in the South Caucasus,Point(43.966666666 42.233333333)
http://www.wikidata.org/entity/Q205047,Kurdistan Region,Kurdish autonomous Region in northern Iraq,Point(44.0 36.183333333)
http://www.wikidata.org/entity/Q5207,Stavropol Krai,federal subject of Russia,Point(43.266666666 45.05)
http://www.wikidata.org/entity/Q190131,Saladin Governorate,governorate of Iraq,Point(43.583333333 34.45)
http://www.wikidata.org/entity/Q28227,Maghreb,region of Northwest Africa,Point(5.0 30.0)
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,sovereign state in Southeast Europe,Point(18.0 44.0)
http://www.wikidata.org/entity/Q187334,Al Anbar Governorate,governorate in Iraq,Point(41.6 32.9)
http://www.wikidata.org/entity/Q193268,Kirkuk Governorate,governorate of Iraq,Point(44.133333333 35.366666666)
http://www.wikidata.org/entity/Q1005,The Gambia,sovereign state in West Africa,Point(-15.5 13.5)
http://www.wikidata.org/entity/Q851,Saudi Arabia,sovereign state in Western Asia,Point(44.116667 23.716667)
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,Point(46.0 23.0)
http://www.wikidata.org/entity/Q188781,Southern District,one of the six districts of Israel,Point(34.83333333 30.66666667)
http://www.wikidata.org/entity/Q155542,Eastern Anatolia Region,region of Turkey,Point(42.0 40.0)
http://www.wikidata.org/entity/Q44302,Nagorno-Karabakh,region in the South Caucasus,Point(46.751944 39.815278)
http://www.wikidata.org/entity/Q16206846,Borkou-Ennedi-Tibesti Prefecture,,Point(19.1167 17.9167)
http://www.wikidata.org/entity/Q801,Israel,sovereign state in Western Asia,Point(35.0 31.0)
http://www.wikidata.org/entity/Q5219,Republic of Ingushetia,"federal subject of Russia, republic of Russia",Point(44.816666666 43.166666666)
http://www.wikidata.org/entity/Q219060,State of Palestine,de jure sovereign state in the Middle East,Point(35.25 32.0)
http://www.wikidata.org/entity/Q34675,Persian Gulf,extension of the Indian Ocean,Point(52.0 26.0)
http://www.wikidata.org/entity/Q899,Suez Canal,canal in Egypt between the Mediterranean and Red Seas,Point(32.344166666 30.705)
http://www.wikidata.org/entity/Q12585,Latin America,region of the Americas where Romance languages are primarily spoken,Point(-68.097391 -1.106889)
http://www.wikidata.org/entity/Q208270,Federally Administered Tribal Areas,former semi-autonomous tribal region in northwestern Pakistan (1947–2018),Point(70.16666667 33.0)
http://www.wikidata.org/entity/Q390213,North Eastern Province,Province of Kenya,Point(40.25 1.0)
http://www.wikidata.org/entity/Q2463859,Jordan Valley,"valley in Israel, Palestine and Jordan",Point(35.57 32.317222)
http://www.wikidata.org/entity/Q227,Azerbaijan,sovereign state in Western Asia and Eastern Europe,Point(47.7 40.3)
http://www.wikidata.org/entity/Q1252648,Ras Doumeira,cape,Point(43.1362 12.7129)
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,Point(38.583333 35.216667)
http://www.wikidata.org/entity/Q2399139,Bangladesh–India border,Separates territories of Bangladesh and India & also known as Line Of Friendship,Point(92.608328703 21.976388888)
http://www.wikidata.org/entity/Q9648,Falkland Islands,archipelago in the South Atlantic Ocean and British Overseas Territory,Point(-59.0 -51.75)
http://www.wikidata.org/entity/Q83210,Golan Heights,region in the Levant,Point(35.75 33.0)
http://www.wikidata.org/entity/Q1196315,San Juan Islands,"island group in Washington State, USA",Point(-123.029251 48.532066)
http://www.wikidata.org/entity/Q38684,Bay of Bengal,part of the Indian Ocean between South and South East Asia,Point(88.0 15.0)
http://www.wikidata.org/entity/Q2826232,Portuguese Angola,1575-1975 Portuguese possession in West Africa,Point(102.38333333 2.18333333)
http://www.wikidata.org/entity/Q483134,Korean Peninsula,peninsula in East Asia,Point(127.0 37.5)
http://www.wikidata.org/entity/Q456847,Shan State,state of Myanmar,Point(98.0 21.5)
