event,eventLabel,eventDescription,startDate,endDate,location,casualties,prevWar,nextWar,largerConflict
http://www.wikidata.org/entity/Q170682,Gaza War,December 2008-January 2009 armed conflict in the Gaza Strip,2008-12-27T00:00:00Z,2009-01-18T00:00:00Z,http://www.wikidata.org/entity/Q39760,,,,http://www.wikidata.org/entity/Q553184
http://www.wikidata.org/entity/Q170682,Gaza War,December 2008-January 2009 armed conflict in the Gaza Strip,2008-12-27T00:00:00Z,2009-01-18T00:00:00Z,http://www.wikidata.org/entity/Q39760,,,,http://www.wikidata.org/entity/Q15059994
http://www.wikidata.org/entity/Q49092,1947–1949 Palestine war,Ando cheques no están depende si Israel War That cam oÁndote que no va a Weston depende si a Israel Work and Over Back OK venga chaof the bank ocoint,1947-10-30T00:00:00Z,1949-03-10T00:00:00Z,http://www.wikidata.org/entity/Q36755,,,,http://www.wikidata.org/entity/Q8669
http://www.wikidata.org/entity/Q179275,War in North-West Pakistan,armed conflict involving Pakistan and armed militant groups,2004-03-16T00:00:00Z,,http://www.wikidata.org/entity/Q208270,,,,http://www.wikidata.org/entity/Q185729
http://www.wikidata.org/entity/Q185729,War on Terror,international military campaign that started after 11 September 2001,2001-09-11T00:00:00Z,,,,,,
http://www.wikidata.org/entity/Q68969,Croatian War of Independence,war of independence fought from 1991 to 1995,1991-03-31T00:00:00Z,1995-08-07T00:00:00Z,http://www.wikidata.org/entity/Q224,,,,http://www.wikidata.org/entity/Q242352
http://www.wikidata.org/entity/Q8740,Vietnam War,"1964–1975 armed conflict in Vietnam, Laos, and Cambodia between North Vietnam and South Vietnam",1965-11-01T00:00:00Z,1975-04-30T00:00:00Z,http://www.wikidata.org/entity/Q180573,1291425,,,http://www.wikidata.org/entity/Q8683
http://www.wikidata.org/entity/Q182865,War in Afghanistan,war in Afghanistan since 2001,2001-10-07T00:00:00Z,2014-12-28T00:00:00Z,http://www.wikidata.org/entity/Q889,,http://www.wikidata.org/entity/Q12302518,http://www.wikidata.org/entity/Q18920712,http://www.wikidata.org/entity/Q185729
http://www.wikidata.org/entity/Q182865,War in Afghanistan,war in Afghanistan since 2001,2001-10-07T00:00:00Z,2014-12-28T00:00:00Z,http://www.wikidata.org/entity/Q889,,http://www.wikidata.org/entity/Q12302518,http://www.wikidata.org/entity/Q18920712,http://www.wikidata.org/entity/Q1519107
http://www.wikidata.org/entity/Q151622,Israeli–Palestinian conflict,military and political struggle between Israel and the Palestinians,1950-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q219060,14500,http://www.wikidata.org/entity/Q2992527,,http://www.wikidata.org/entity/Q8669
http://www.wikidata.org/entity/Q8663,Korean War,1950–1953 war between North Korea and South Korea,1950-06-25T00:00:00Z,1953-07-27T00:00:00Z,http://www.wikidata.org/entity/Q27092,,,,http://www.wikidata.org/entity/Q8683
http://www.wikidata.org/entity/Q8663,Korean War,1950–1953 war between North Korea and South Korea,1950-06-25T00:00:00Z,1953-07-27T00:00:00Z,http://www.wikidata.org/entity/Q52052,,,,http://www.wikidata.org/entity/Q8683
http://www.wikidata.org/entity/Q29269,First Chechen War,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,http://www.wikidata.org/entity/Q5118,,,,http://www.wikidata.org/entity/Q14947002
http://www.wikidata.org/entity/Q29269,First Chechen War,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,http://www.wikidata.org/entity/Q5187,,,,http://www.wikidata.org/entity/Q14947002
http://www.wikidata.org/entity/Q29269,First Chechen War,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,http://www.wikidata.org/entity/Q5207,,,,http://www.wikidata.org/entity/Q14947002
http://www.wikidata.org/entity/Q29269,First Chechen War,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,http://www.wikidata.org/entity/Q5219,,,,http://www.wikidata.org/entity/Q14947002
http://www.wikidata.org/entity/Q49104,2006 Lebanon War,military conflict between Hezbollah and Israeli forces,2006-07-12T00:00:00Z,2006-08-14T00:00:00Z,http://www.wikidata.org/entity/Q81483,165,,,http://www.wikidata.org/entity/Q3241199
http://www.wikidata.org/entity/Q49104,2006 Lebanon War,military conflict between Hezbollah and Israeli forces,2006-07-12T00:00:00Z,2006-08-14T00:00:00Z,http://www.wikidata.org/entity/Q81483,1191,,,http://www.wikidata.org/entity/Q3241199
http://www.wikidata.org/entity/Q49104,2006 Lebanon War,military conflict between Hezbollah and Israeli forces,2006-07-12T00:00:00Z,2006-08-14T00:00:00Z,http://www.wikidata.org/entity/Q81483,165,,,http://www.wikidata.org/entity/Q15059994
http://www.wikidata.org/entity/Q49104,2006 Lebanon War,military conflict between Hezbollah and Israeli forces,2006-07-12T00:00:00Z,2006-08-14T00:00:00Z,http://www.wikidata.org/entity/Q81483,1191,,,http://www.wikidata.org/entity/Q15059994
http://www.wikidata.org/entity/Q181533,Bosnian War,international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995,1992-04-06T00:00:00Z,1995-12-14T00:00:00Z,http://www.wikidata.org/entity/Q188736,,,,http://www.wikidata.org/entity/Q242352
http://www.wikidata.org/entity/Q29242,Georgian–Ossetian conflict,ethno-political conflict over Georgia's autonomous region of South Ossetia,1989-11-10T00:00:00Z,,http://www.wikidata.org/entity/Q23427,,,,
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q899,,,,http://www.wikidata.org/entity/Q8669
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q899,,,,http://www.wikidata.org/entity/Q8683
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q7204,,,,http://www.wikidata.org/entity/Q8669
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q7204,,,,http://www.wikidata.org/entity/Q8683
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q36755,,,,http://www.wikidata.org/entity/Q8669
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q36755,,,,http://www.wikidata.org/entity/Q8683
http://www.wikidata.org/entity/Q120843,Second Chechen War,war,1999-08-26T00:00:00Z,2009-04-15T00:00:00Z,http://www.wikidata.org/entity/Q5187,,,,http://www.wikidata.org/entity/Q14947002
