warID,warName,startDate,endDate,warDescription,prevWarID,nextWarID
Q82664,Iran–Iraq War,1980-09-22T00:00:00Z,1988-08-20T00:00:00Z,war between Iran and Iraq from September 1980 to August 1988,,
Q8663,Korean War,1950-06-25T00:00:00Z,1953-07-27T00:00:00Z,1950–1953 war between North Korea and South Korea,,
Q185729,War on Terror,2001-09-11T00:00:00Z,,international military campaign that started after 11 September 2001,,
Q49101,Suez Crisis,1956-10-29T00:00:00Z,1956-11-07T00:00:00Z,"diplomatic and military confrontation in late 1956 involving Egypt, Britain, France and Israel",,
Q48249,Falklands War,1982-04-02T00:00:00Z,1982-06-14T00:00:00Z,1982 war between Argentina and the United Kingdom,,
Q49100,Yom Kippur War,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,October 1973 war between Israel at one side and Egypt and Syria on the other side,,
Q170682,Gaza War,2008-12-27T00:00:00Z,2009-01-18T00:00:00Z,December 2008-January 2009 armed conflict in the Gaza Strip,,
Q49077,Six-Day War,1967-06-05T00:00:00Z,1967-06-10T00:00:00Z,"1967 war between Israel and Egypt, Jordan, and Syria",,
Q83085,Soviet–Afghan War,1979-12-25T00:00:00Z,1989-02-15T00:00:00Z,"war between the Soviet Union and Afghan insurgents, 1979-89",,Q2405009
Q49103,Lebanon War,1982-06-06T00:00:00Z,1985-05-17T00:00:00Z,1982 war between Israel and forces in Lebanon,,
Q49104,2006 Lebanon War,2006-07-12T00:00:00Z,2006-08-14T00:00:00Z,military conflict between Hezbollah and Israeli forces,,
Q29242,Georgian–Ossetian conflict,1989-11-10T00:00:00Z,,ethno-political conflict over Georgia's autonomous region of South Ossetia,,
Q49097,1948 Arab–Israeli War,1947-11-30T00:00:00Z,1949-07-20T00:00:00Z,,,
Q182865,War in Afghanistan,2001-10-07T00:00:00Z,2014-12-28T00:00:00Z,war in Afghanistan since 2001,Q12302518,Q18920712
Q181533,Bosnian War,1992-04-06T00:00:00Z,1995-12-14T00:00:00Z,international armed conflict that took place in Bosnia and Herzegovina between 1992 and 1995,,
Q151622,Israeli–Palestinian conflict,1950-01-01T00:00:00Z,,military and political struggle between Israel and the Palestinians,Q2992527,
Q49092,1948 Arab–Israeli War,1947-10-30T00:00:00Z,1949-03-10T00:00:00Z,"military conflict (1948–9) between the newly declared State of Israel and states of the Arab League and Palestinian militias, ending with Israeli victory, Jordanian occpuation of West Bank, and Egyptian occupation of the Gaza Strip",,
Q8740,Vietnam War,1965-11-01T00:00:00Z,1975-04-30T00:00:00Z,"1964–1975 armed conflict in Vietnam, Laos, and Cambodia between North Vietnam and South Vietnam",,
Q75756,Second Congo War,1998-08-02T00:00:00Z,2003-06-30T00:00:00Z,war in Africa,,
Q37643,Gulf War,1990-08-02T00:00:00Z,1991-02-28T00:00:00Z,1990–1991 war between Iraq and Coalition Forces,,
Q68969,Croatian War of Independence,1991-03-31T00:00:00Z,1995-08-07T00:00:00Z,war of independence fought from 1991 to 1995,,
Q29269,First Chechen War,1994-12-11T00:00:00Z,1996-08-31T00:00:00Z,"war fought from 11 December 1994 to 31 August 1996, between Chechnya and Russia",,
Q179275,War in North-West Pakistan,2004-03-16T00:00:00Z,,armed conflict involving Pakistan and armed militant groups,,
Q120843,Second Chechen War,1999-08-26T00:00:00Z,2009-04-15T00:00:00Z,war,,
Q842380,Second Sudanese Civil War,1983-06-05T00:00:00Z,2005-01-09T00:00:00Z,civil war,,
Q213394,Sri Lankan Civil War,1983-07-23T00:00:00Z,2009-05-18T00:00:00Z,armed conflict in Sri Lanka (1983–2009) between the government and the separatist organization Liberation Tigers of Tamil Eelam,,
Q817206,Cambodian Civil War,1967-03-11T00:00:00Z,1975-04-17T00:00:00Z,civil war in Cambodia between 1970 and 1975,,
Q647239,Burundi Civil War,1993-10-21T00:00:00Z,2005-05-15T00:00:00Z,civil war in Burundi between 1993-2005,,
Q1477500,First Liberian Civil War,1989-12-24T00:00:00Z,1997-08-02T00:00:00Z,1989–1996 civil war in Liberia,,
Q188972,Greek Civil War,1946-03-30T00:00:00Z,1949-10-16T00:00:00Z,1946-1949 civil war in Greece,,
Q829875,Nigerian Civil War,2000-06-01T00:00:00Z,1974-01-15T00:00:00Z,violent conflict within Nigeria,,
Q142529,Algerian Civil War,1991-12-26T00:00:00Z,2002-02-08T00:00:00Z,In 1991-2002 civil war in Algeria,,
Q1276892,South Yemen Civil War,1986-01-13T00:00:00Z,1986-01-24T00:00:00Z,,,
Q66474138,War in Catatumbo,2018-01-01T00:00:00Z,,,,
Q852088,Internal conflict in Myanmar,1948-04-02T00:00:00Z,,series of ongoing insurgencies within Myanmar,,
Q54448834,Gunnut Operation,2018-05-20T00:00:00Z,2018-05-27T00:00:00Z,Azerbaijan Army Operation Sharur District Gained Some Hill And Gunnut Village,,
Q1154912,Iraqi Kurdish Civil War,1994-05-01T00:00:00Z,1997-11-24T00:00:00Z,,,
Q163883,Ten-Day War,1991-06-27T00:00:00Z,1991-07-07T00:00:00Z,civil war in Yugoslavia following the Slovenian declaration of independence on 25 June 1991,,
Q185407,La Violencia,1949-12-06T00:00:00Z,1958-01-01T00:00:00Z,civil war in Colombia between 1946 and 1958,,
Q945700,Chad-Sudan Conflict  (2005–2010),2005-12-18T00:00:00Z,2010-01-15T00:00:00Z,conflict,,
Q782474,Chadian Civil War of 1965–79,1965-01-01T00:00:00Z,1979-01-01T00:00:00Z,,,
Q68718107,Moba Wars,1984-11-01T00:00:00Z,1987-01-01T00:00:00Z,wars in Zaire,,
Q521199,North Yemen Civil War,1962-09-26T00:00:00Z,1970-01-01T00:00:00Z,,,
Q1122110,Civil war in Tajikistan,1992-05-05T00:00:00Z,1997-06-27T00:00:00Z,civil war,,
Q209965,Casamance conflict,1982-01-01T00:00:00Z,2014-05-01T00:00:00Z,ongoing low-level conflict between the Government of Senegal and the Movement of Democratic Forces of Casamance since 1982,,
