participant,participantLabel,participantDescription,inception,dissolved,type,typeLabel,typeDescription,participantID,typeID
http://www.wikidata.org/entity/Q80312,Liberation Tigers of Tamil Eelam,militant organization in Sri Lanka,1976-01-01T00:00:00Z,2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7278,political party,organization that seeks to influence government policy and actions,Q80312,Q7278
http://www.wikidata.org/entity/Q80312,Liberation Tigers of Tamil Eelam,militant organization in Sri Lanka,1976-01-01T00:00:00Z,2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q20642011,guerrilla movement,military organization practicing irregular warfare against a larger and less-mobile traditional military,Q80312,Q20642011
http://www.wikidata.org/entity/Q58967,Israel Defense Forces,combined military forces of Israel,1948-05-26T00:00:00Z,,http://www.wikidata.org/entity/Q772547,armed forces,collective organization of a country's armed military and paramilitary,Q58967,Q772547
http://www.wikidata.org/entity/Q160805,United Nations Interim Force in Lebanon,,1978-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1456930,peacekeeping force,military unit of one or more uninvolved countries which engage in a conflict,Q160805,Q1456930
http://www.wikidata.org/entity/Q7184,NATO,intergovernmental military alliance of Western states,1949-04-04T00:00:00Z,,http://www.wikidata.org/entity/Q245065,intergovernmental organization,organization composed primarily of sovereign states,Q7184,Q245065
http://www.wikidata.org/entity/Q7184,NATO,intergovernmental military alliance of Western states,1949-04-04T00:00:00Z,,http://www.wikidata.org/entity/Q1127126,military alliance,alliance between different states with the purpose to cooperate militarily,Q7184,Q1127126
http://www.wikidata.org/entity/Q11223,United States Air Force,air warfare branch of the United States Armed Forces,1947-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q61883,air force,military branch of service primarily concerned with aerial warfare,Q11223,Q61883
http://www.wikidata.org/entity/Q7184,NATO,intergovernmental military alliance of Western states,1949-04-04T00:00:00Z,,http://www.wikidata.org/entity/Q484652,international organization,"organization with an international membership, scope, or presence",Q7184,Q484652
http://www.wikidata.org/entity/Q11223,United States Air Force,air warfare branch of the United States Armed Forces,1947-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q781132,military branch,subdivision of the national armed forces of a sovereign nation or state,Q11223,Q781132
http://www.wikidata.org/entity/Q152220,Kurdistan Workers' Party,Kurdish nationalist and separatist armed organization,1978-11-27T00:00:00Z,,http://www.wikidata.org/entity/Q17149090,armed organization,organization which achieves or tries to achieve its goals using weapons,Q152220,Q17149090
http://www.wikidata.org/entity/Q41053,Hezbollah,Shi'a Islamist militant group and political party based in Lebanon,1985-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,Q41053,Q153936
http://www.wikidata.org/entity/Q160805,United Nations Interim Force in Lebanon,,1978-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q245065,intergovernmental organization,organization composed primarily of sovereign states,Q160805,Q245065
http://www.wikidata.org/entity/Q41053,Hezbollah,Shi'a Islamist militant group and political party based in Lebanon,1985-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q41053,Q17127659
http://www.wikidata.org/entity/Q56010,Bundeswehr,unified armed forces of Germany and their civil administration and procurement authorities,1955-11-12T00:00:00Z,,http://www.wikidata.org/entity/Q1691358,Q1691358,,Q56010,Q1691358
http://www.wikidata.org/entity/Q152220,Kurdistan Workers' Party,Kurdish nationalist and separatist armed organization,1978-11-27T00:00:00Z,,http://www.wikidata.org/entity/Q17127659,terrorist organization,group designated as terrorist by an authority,Q152220,Q17127659
http://www.wikidata.org/entity/Q108462,Lord's Resistance Army,"rebel movement formed by Joseph Kony in northern Uganda in 1987, incorporating remnants of Alice Lakwena's Holy Spirit Mobile Forces/Movement and Odong Latek's Uganda People's Democratic Army",1987-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q153936,militia,generally refers to an army or other fighting force that is composed of non-professional fighters,Q108462,Q153936
http://www.wikidata.org/entity/Q160805,United Nations Interim Force in Lebanon,,1978-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q484652,international organization,"organization with an international membership, scope, or presence",Q160805,Q484652
http://www.wikidata.org/entity/Q160805,United Nations Interim Force in Lebanon,,1978-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q213283,diplomatic mission,group of people from one state present in another state to represent the sending state,Q160805,Q213283
http://www.wikidata.org/entity/Q56010,Bundeswehr,unified armed forces of Germany and their civil administration and procurement authorities,1955-11-12T00:00:00Z,,http://www.wikidata.org/entity/Q772547,armed forces,collective organization of a country's armed military and paramilitary,Q56010,Q772547
http://www.wikidata.org/entity/Q41053,Hezbollah,Shi'a Islamist militant group and political party based in Lebanon,1985-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7278,political party,organization that seeks to influence government policy and actions,Q41053,Q7278
