participant,participantLabel,participantDescription,countryCode,inception,dissolved,government,governmentLabel,participantID,govtID
http://www.wikidata.org/entity/Q142,France,sovereign state with mainland in Europe and several overseas territories,FRA,,,http://www.wikidata.org/entity/Q49890,semi-presidential system,Q142,Q49890
http://www.wikidata.org/entity/Q142,France,sovereign state with mainland in Europe and several overseas territories,FRA,,,http://www.wikidata.org/entity/Q179164,unitary state,Q142,Q179164
http://www.wikidata.org/entity/Q142,France,sovereign state with mainland in Europe and several overseas territories,FRA,,,http://www.wikidata.org/entity/Q188961,decentralization,Q142,Q188961
http://www.wikidata.org/entity/Q30,United States of America,country in North America,USA,1776-07-04T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q30,Q49892
http://www.wikidata.org/entity/Q145,United Kingdom,"sovereign state in the British Isles, off the northwestern coast of continental Europe",GBR,1927-04-12T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q145,Q41614
http://www.wikidata.org/entity/Q36,Poland,sovereign state in Central Europe,POL,1918-11-11T00:00:00Z,,http://www.wikidata.org/entity/Q166747,parliamentary system,Q36,Q166747
http://www.wikidata.org/entity/Q30,United States of America,country in North America,USA,1776-07-04T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q30,Q512187
http://www.wikidata.org/entity/Q114,Kenya,sovereign state in East Africa,KEN,1963-01-01T00:00:00Z,,,,Q114,
http://www.wikidata.org/entity/Q43,Turkey,sovereign state straddling Southeastern Europe and Western Asia,TUR,1923-10-29T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q43,Q7270
http://www.wikidata.org/entity/Q35,Denmark,sovereign state and Scandinavian country in northern Europe,DNK,0800-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q41614,constitutional monarchy,Q35,Q41614
http://www.wikidata.org/entity/Q115,Ethiopia,Country in East Africa,ETH,1941-05-05T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q115,Q512187
http://www.wikidata.org/entity/Q96,Mexico,sovereign state in the southern portion of North America,MEX,1810-09-16T00:00:00Z,,http://www.wikidata.org/entity/Q512187,federal republic,Q96,Q512187
http://www.wikidata.org/entity/Q38,Italy,sovereign state in Southern Europe,ITA,1946-06-18T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q38,Q4198907
http://www.wikidata.org/entity/Q79,Egypt,sovereign state in Africa and Asia,EGY,-3149-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q79,Q7270
http://www.wikidata.org/entity/Q45,Portugal,sovereign state in southwestern Europe,PRT,1143-10-12T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q45,Q7270
