location,locationLabel,locationDescription,locationCountry,locationCountryLabel,locationID,locationCountryID
http://www.wikidata.org/entity/Q27092,Sea of Japan,"sea between Korea, Japan, and Russia",http://www.wikidata.org/entity/Q148,People's Republic of China,Q27092,Q148
http://www.wikidata.org/entity/Q27092,Sea of Japan,"sea between Korea, Japan, and Russia",http://www.wikidata.org/entity/Q159,Russia,Q27092,Q159
http://www.wikidata.org/entity/Q27092,Sea of Japan,"sea between Korea, Japan, and Russia",http://www.wikidata.org/entity/Q17,Japan,Q27092,Q17
http://www.wikidata.org/entity/Q36755,Sinai Peninsula,peninsula in the Red Sea,http://www.wikidata.org/entity/Q79,Egypt,Q36755,Q79
http://www.wikidata.org/entity/Q822,Lebanon,sovereign state in Western Asia,http://www.wikidata.org/entity/Q822,Lebanon,Q822,Q822
http://www.wikidata.org/entity/Q23427,South Ossetia,disputed region in the South Caucasus,http://www.wikidata.org/entity/Q230,Georgia,Q23427,Q230
http://www.wikidata.org/entity/Q52052,Korea Strait,sea passage between Japan and South Korea,http://www.wikidata.org/entity/Q423,North Korea,Q52052,Q423
http://www.wikidata.org/entity/Q27092,Sea of Japan,"sea between Korea, Japan, and Russia",http://www.wikidata.org/entity/Q884,South Korea,Q27092,Q884
http://www.wikidata.org/entity/Q7204,Middle East,region that encompasses majority of Western Asia and Egypt,,,Q7204,
http://www.wikidata.org/entity/Q193714,Mandatory Palestine,A former geopolitical entity in Land of Israel occupied from the Ottoman Empire in WW1,http://www.wikidata.org/entity/Q145,United Kingdom,Q193714,Q145
http://www.wikidata.org/entity/Q476757,Democratic Republic of Afghanistan,republic in Central Asia between 1978–1992,,,Q476757,
http://www.wikidata.org/entity/Q188781,Southern District,one of the six districts of Israel,http://www.wikidata.org/entity/Q801,Israel,Q188781,Q801
http://www.wikidata.org/entity/Q23427,South Ossetia,disputed region in the South Caucasus,http://www.wikidata.org/entity/Q23427,South Ossetia,Q23427,Q23427
http://www.wikidata.org/entity/Q5207,Stavropol Krai,federal subject of Russia,http://www.wikidata.org/entity/Q159,Russia,Q5207,Q159
http://www.wikidata.org/entity/Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",http://www.wikidata.org/entity/Q889,Afghanistan,Q889,Q889
http://www.wikidata.org/entity/Q188736,Bosnia,northern region of Bosnia and Herzegovina,http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,Q188736,Q225
http://www.wikidata.org/entity/Q27092,Sea of Japan,"sea between Korea, Japan, and Russia",http://www.wikidata.org/entity/Q423,North Korea,Q27092,Q423
http://www.wikidata.org/entity/Q35086,South Georgia and the South Sandwich Islands,British overseas territory in the Southern Atlantic Ocean,http://www.wikidata.org/entity/Q145,United Kingdom,Q35086,Q145
http://www.wikidata.org/entity/Q851,Saudi Arabia,sovereign state in Western Asia,http://www.wikidata.org/entity/Q851,Saudi Arabia,Q851,Q851
http://www.wikidata.org/entity/Q34675,Persian Gulf,extension of the Indian Ocean,,,Q34675,
http://www.wikidata.org/entity/Q180573,South Vietnam,former country in southeast Asia,,,Q180573,
http://www.wikidata.org/entity/Q5187,Chechen Republic,"republic of Russia, federal subject of Russia",http://www.wikidata.org/entity/Q159,Russia,Q5187,Q159
http://www.wikidata.org/entity/Q794,Iran,sovereign state in Western Asia,http://www.wikidata.org/entity/Q794,Iran,Q794,Q794
http://www.wikidata.org/entity/Q83210,Golan Heights,region in the Levant,http://www.wikidata.org/entity/Q801,Israel,Q83210,Q801
http://www.wikidata.org/entity/Q817,Kuwait,sovereign state in Western Asia,http://www.wikidata.org/entity/Q817,Kuwait,Q817,Q817
http://www.wikidata.org/entity/Q83210,Golan Heights,region in the Levant,http://www.wikidata.org/entity/Q858,Syria,Q83210,Q858
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,http://www.wikidata.org/entity/Q398,Bahrain,Q31945,Q398
