event,eventLabel,eventDescription,startDate,endDate,location,casualties,prevWar,nextWar,largerConflict,largerConflictLabel,largerConflictDescription,warID,locationID,prevWarID,nextWarID,largerConflictID
http://www.wikidata.org/entity/Q82664,Iran–Iraq War,war between Iran and Iraq from September 1980 to August 1988,1980-09-22T00:00:00Z,1988-08-20T00:00:00Z,http://www.wikidata.org/entity/Q34675,,,,http://www.wikidata.org/entity/Q13408125,Gulf War,Wikimedia disambiguation page,Q82664,Q34675,,,Q13408125
http://www.wikidata.org/entity/Q8663,Korean War,1950–1953 war between North Korea and South Korea,1950-06-25T00:00:00Z,1953-07-27T00:00:00Z,http://www.wikidata.org/entity/Q27092,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q8663,Q27092,,,Q8683
http://www.wikidata.org/entity/Q185729,War on Terror,international military campaign that started after 11 September 2001,2001-09-11T00:00:00Z,,,,,,,,,Q185729,,,,
http://www.wikidata.org/entity/Q49101,Suez Crisis,"diplomatic and military confrontation in late 1956 involving Egypt, Britain, France and Israel",1956-10-29T00:00:00Z,1956-11-07T00:00:00Z,http://www.wikidata.org/entity/Q39760,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49101,Q39760,,,Q8669
http://www.wikidata.org/entity/Q48249,Falklands War,1982 war between Argentina and the United Kingdom,1982-04-02T00:00:00Z,1982-06-14T00:00:00Z,http://www.wikidata.org/entity/Q9648,891,,,http://www.wikidata.org/entity/Q4379537,Falkland Islands sovereignty dispute,dispute between Argentina and the United Kingdom,Q48249,Q9648,,,Q4379537
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q36755,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q49100,Q36755,,,Q8683
http://www.wikidata.org/entity/Q170682,Gaza War,December 2008-January 2009 armed conflict in the Gaza Strip,2008-12-27T00:00:00Z,2009-01-18T00:00:00Z,http://www.wikidata.org/entity/Q39760,,,,http://www.wikidata.org/entity/Q553184,Gaza–Israel conflict,conflict between Gaza and Israel,Q170682,Q39760,,,Q553184
http://www.wikidata.org/entity/Q49077,Six-Day War,"1967 war between Israel and Egypt, Jordan, and Syria",1967-06-05T00:00:00Z,1967-06-10T00:00:00Z,http://www.wikidata.org/entity/Q7204,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49077,Q7204,,,Q8669
http://www.wikidata.org/entity/Q170682,Gaza War,December 2008-January 2009 armed conflict in the Gaza Strip,2008-12-27T00:00:00Z,2009-01-18T00:00:00Z,http://www.wikidata.org/entity/Q39760,,,,http://www.wikidata.org/entity/Q15059994,Iran–Israel proxy conflict,ongoing indirect conflict between Iran and Israel,Q170682,Q39760,,,Q15059994
http://www.wikidata.org/entity/Q49100,Yom Kippur War,October 1973 war between Israel at one side and Egypt and Syria on the other side,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z,http://www.wikidata.org/entity/Q83210,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q49100,Q83210,,,Q8683
http://www.wikidata.org/entity/Q83085,Soviet–Afghan War,"war between the Soviet Union and Afghan insurgents, 1979-89",1979-12-25T00:00:00Z,1989-02-15T00:00:00Z,http://www.wikidata.org/entity/Q476757,,,http://www.wikidata.org/entity/Q2405009,http://www.wikidata.org/entity/Q1519107,War in Afghanistan,Ongoing conflicts in Afghanistan since 1978,Q83085,Q476757,,Q2405009,Q1519107
http://www.wikidata.org/entity/Q49103,Lebanon War,1982 war between Israel and forces in Lebanon,1982-06-06T00:00:00Z,1985-05-17T00:00:00Z,http://www.wikidata.org/entity/Q822,,,,http://www.wikidata.org/entity/Q8669,Arab–Israeli conflict,geopolitical conflict in the Middle East and North Africa,Q49103,Q822,,,Q8669
http://www.wikidata.org/entity/Q8663,Korean War,1950–1953 war between North Korea and South Korea,1950-06-25T00:00:00Z,1953-07-27T00:00:00Z,http://www.wikidata.org/entity/Q52052,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q8663,Q52052,,,Q8683
http://www.wikidata.org/entity/Q49104,2006 Lebanon War,military conflict between Hezbollah and Israeli forces,2006-07-12T00:00:00Z,2006-08-14T00:00:00Z,http://www.wikidata.org/entity/Q81483,165,,,http://www.wikidata.org/entity/Q15059994,Iran–Israel proxy conflict,ongoing indirect conflict between Iran and Israel,Q49104,Q81483,,,Q15059994
