event,eventLabel,participant,participantLabel,warID,participantID
http://www.wikidata.org/entity/Q190758,Darfur conflict,http://www.wikidata.org/entity/Q384535,African Union – United Nations Hybrid Operation in Darfur,Q190758,Q384535
http://www.wikidata.org/entity/Q322607,War of Attrition,http://www.wikidata.org/entity/Q801,Israel,Q322607,Q801
http://www.wikidata.org/entity/Q322607,War of Attrition,http://www.wikidata.org/entity/Q241,Cuba,Q322607,Q241
http://www.wikidata.org/entity/Q322607,War of Attrition,http://www.wikidata.org/entity/Q810,Jordan,Q322607,Q810
http://www.wikidata.org/entity/Q303801,Lord's Resistance Army insurgency,http://www.wikidata.org/entity/Q1036,Uganda,Q303801,Q1036
http://www.wikidata.org/entity/Q322607,War of Attrition,http://www.wikidata.org/entity/Q79,Egypt,Q322607,Q79
http://www.wikidata.org/entity/Q327237,Kivu conflict,http://www.wikidata.org/entity/Q21476759,National Forces of Liberation,Q327237,Q21476759
http://www.wikidata.org/entity/Q303801,Lord's Resistance Army insurgency,http://www.wikidata.org/entity/Q929,Central African Republic,Q303801,Q929
http://www.wikidata.org/entity/Q322607,War of Attrition,http://www.wikidata.org/entity/Q858,Syria,Q322607,Q858
http://www.wikidata.org/entity/Q381375,Nagorno-Karabakh War,http://www.wikidata.org/entity/Q130216,Nagorno-Karabakh Autonomous Oblast,Q381375,Q130216
http://www.wikidata.org/entity/Q381375,Nagorno-Karabakh War,http://www.wikidata.org/entity/Q244165,Artsakh,Q381375,Q244165
http://www.wikidata.org/entity/Q381375,Nagorno-Karabakh War,http://www.wikidata.org/entity/Q318657,Armenian Revolutionary Federation,Q381375,Q318657
http://www.wikidata.org/entity/Q190758,Darfur conflict,http://www.wikidata.org/entity/Q3374306,Sudan Revolutionary Front,Q190758,Q3374306
http://www.wikidata.org/entity/Q321780,Georgian–Abkhazian conflict,http://www.wikidata.org/entity/Q18973,Georgians,Q321780,Q18973
http://www.wikidata.org/entity/Q322607,War of Attrition,http://www.wikidata.org/entity/Q15180,Soviet Union,Q322607,Q15180
http://www.wikidata.org/entity/Q202465,Uganda–Tanzania War,http://www.wikidata.org/entity/Q1036,Uganda,Q202465,Q1036
http://www.wikidata.org/entity/Q371394,Bangladesh Liberation War,http://www.wikidata.org/entity/Q843,Pakistan,Q371394,Q843
http://www.wikidata.org/entity/Q371394,Bangladesh Liberation War,http://www.wikidata.org/entity/Q668,India,Q371394,Q668
http://www.wikidata.org/entity/Q233583,Indo-Pakistani War of 1965.,http://www.wikidata.org/entity/Q843,Pakistan,Q233583,Q843
http://www.wikidata.org/entity/Q233583,Indo-Pakistani War of 1965.,http://www.wikidata.org/entity/Q668,India,Q233583,Q668
http://www.wikidata.org/entity/Q190758,Darfur conflict,http://www.wikidata.org/entity/Q24911485,Sudanese Awakening Revolutionary Council,Q190758,Q24911485
http://www.wikidata.org/entity/Q190758,Darfur conflict,http://www.wikidata.org/entity/Q178328,Janjaweed,Q190758,Q178328
http://www.wikidata.org/entity/Q303801,Lord's Resistance Army insurgency,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Q303801,Q974
http://www.wikidata.org/entity/Q322607,War of Attrition,http://www.wikidata.org/entity/Q26683,Palestine Liberation Organization,Q322607,Q26683
http://www.wikidata.org/entity/Q381375,Nagorno-Karabakh War,http://www.wikidata.org/entity/Q1751089,Azerbaijani Popular Front Party,Q381375,Q1751089
http://www.wikidata.org/entity/Q202465,Uganda–Tanzania War,http://www.wikidata.org/entity/Q924,Tanzania,Q202465,Q924
